rnn_type,dropout,hidden_size,num_layers,bidirectional,Train Loss,Valid Loss,Valid Accuracy,Valid F1,Test Loss,Test Accuracy,Test F1
LSTM,0.0,100,3,False,0.581617762553527,0.5751667787305644,0.6448105436573311,0.4532120411322056,0.4887859425084157,0.7729357798165137,0.753731343283582
LSTM,0.3,150,2,True,0.5976688308100546,0.5803679657356987,0.6553542009884679,0.4560511000489461,0.4713785677132281,0.7717889908256881,0.7593712212817413
GRU,0.0,200,3,False,0.5443655079410922,0.532570947633415,0.7116968698517298,0.613859985806964,0.4699476584792137,0.7717889908256881,0.757020757020757
LSTM,0.5,100,3,False,0.5970854382910487,0.5840667318125241,0.6509610104338276,0.4530804469972149,0.4838249968703497,0.7706422018348624,0.7542997542997544
LSTM,0.0,150,3,True,0.5801658325755651,0.5778069722196444,0.6506315211422296,0.427993934539441,0.479670605876229,0.7672018348623854,0.7414012738853504
LSTM,0.3,100,3,False,0.5872824903869409,0.5817765199502961,0.6500823723228996,0.449960530342299,0.4972623522308739,0.7660550458715596,0.745
LSTM,0.5,150,2,True,0.5898380507521914,0.5877571581002793,0.6422844590884129,0.4255413938465761,0.4831863469020886,0.7626146788990825,0.744759556103576
LSTM,0.5,150,3,True,0.59133564708969,0.5756560684634688,0.6584294343767161,0.4495955134561198,0.4944364404813809,0.7603211009174312,0.7377666248431618
GRU,0.0,150,3,True,0.5782756072447597,0.5899057910660577,0.6544755628775398,0.4473926141472334,0.4878207519650459,0.7603211009174312,0.7478890229191798
LSTM,0.3,100,2,True,0.6077756598660473,0.600458411815388,0.6487644151565074,0.4485894171286067,0.5115868364545432,0.7591743119266054,0.7505938242280285
GRU,0.5,150,3,True,0.5917369627732836,0.601316277324502,0.6445908841295991,0.4416924957647827,0.5033874974840067,0.7591743119266054,0.7463768115942029
LSTM,0.0,200,2,True,0.5652355690293598,0.5616062603198766,0.7009335529928611,0.6056799216820937,0.5107203617861326,0.7580275229357798,0.732572877059569
LSTM,0.0,150,2,True,0.5752924024921409,0.5771286516485971,0.6462383305875893,0.4306595800130794,0.4882926172153516,0.7557339449541285,0.7293519695044474
LSTM,0.5,100,2,False,0.5873964749860324,0.5764613736115518,0.655683690280066,0.4758651576384376,0.5232887978411533,0.7545871559633027,0.7482352941176471
GRU,0.3,150,1,False,0.6439677057590352,0.6271265615042442,0.5965952773201538,0.2999647189410347,0.4976095816289836,0.7534403669724771,0.7502903600464575
LSTM,0.3,200,2,True,0.5660335252224575,0.5482204829897385,0.7095002745744098,0.6142553258597406,0.49149326429787,0.7534403669724771,0.7275031685678074
GRU,0.0,150,1,False,0.6439677057590352,0.6271265615042442,0.5965952773201538,0.2999647189410347,0.4976095816289836,0.7534403669724771,0.7502903600464575
GRU,0.5,150,1,False,0.6439677057590352,0.6271265615042442,0.5965952773201538,0.2999647189410347,0.4976095816289836,0.7534403669724771,0.7502903600464575
GRU,0.3,150,3,True,0.5867084455929594,0.6036438898107068,0.6467874794069193,0.4425350536094732,0.5206212092360313,0.7522935779816514,0.7244897959183674
GRU,0.5,200,3,True,0.5666220383229343,0.5762323137352375,0.6520593080724876,0.4445623786345968,0.5116790791296146,0.7522935779816514,0.7346437346437346
GRU,0.0,200,2,True,0.5526580141161993,0.5663985705522241,0.6861065348709501,0.5683873632120238,0.5064054526049983,0.7488532110091743,0.7114624505928854
LSTM,0.5,150,1,False,0.6210859386052954,0.604626910999173,0.6467874794069193,0.4476318400204896,0.5064437629824335,0.7488532110091743,0.7383512544802867
LSTM,0.3,150,1,False,0.6210859386052954,0.604626910999173,0.6467874794069193,0.4476318400204896,0.5064437629824335,0.7488532110091743,0.7383512544802867
LSTM,0.0,150,1,False,0.6210859386052954,0.604626910999173,0.6467874794069193,0.4476318400204896,0.5064437629824335,0.7488532110091743,0.7383512544802867
LSTM,0.3,150,3,True,0.5738762118299985,0.5894740243712084,0.6421746293245469,0.4144657200454958,0.5222883326086131,0.7488532110091743,0.7052489905787348
LSTM,0.0,100,2,False,0.57396032483347,0.5772782393003423,0.6918176825919824,0.5839527184796409,0.5476709354922853,0.7477064220183486,0.7277227722772278
GRU,0.3,200,3,False,0.5461249706519913,0.5478170452385,0.7048874244920373,0.5972692990248758,0.5067300216548822,0.7465596330275229,0.7148387096774194
LSTM,0.5,100,1,False,0.6445965101092642,0.630732074070498,0.5947281713344317,0.3099686204507913,0.530030204999176,0.7454128440366973,0.7668067226890756
LSTM,0.0,100,1,False,0.6445965101092642,0.630732074070498,0.5947281713344317,0.3099686204507913,0.530030204999176,0.7454128440366973,0.7668067226890756
LSTM,0.3,100,1,False,0.6445965101092642,0.630732074070498,0.5947281713344317,0.3099686204507913,0.530030204999176,0.7454128440366973,0.7668067226890756
GRU,0.5,200,2,True,0.5629135267251099,0.5804066652645831,0.6461285008237232,0.425589268139281,0.5097517666660927,0.7454128440366973,0.7116883116883117
GRU,0.0,200,2,False,0.5558237330018101,0.5874258555105475,0.6564524986271281,0.4868289757492279,0.5244179208847609,0.7454128440366973,0.7032085561497327
LSTM,0.3,200,3,False,0.5446830118032094,0.5486599403408057,0.7025809994508512,0.5898885707689826,0.5002727881920609,0.7442660550458715,0.7115135834411385
RNN,0.5,100,1,True,0.6528115948224397,0.6372478067712054,0.5971444261394838,0.2997238882855838,0.5445168148726225,0.7419724770642202,0.7285886610373944
RNN,0.0,100,1,True,0.6528115948224397,0.6372478067712054,0.5971444261394838,0.2997238882855838,0.5445168148726225,0.7419724770642202,0.7285886610373944
